Threshold,Precision,Recall
0.0,0.16099773242630386,1.0
0.01,0.16397228637413394,1.0
0.02,0.16548463356973994,0.9859154929577465
0.03,0.17326732673267325,0.9859154929577465
0.04,0.17902813299232737,0.9859154929577465
0.05,0.18256130790190736,0.9436619718309859
0.06,0.18980169971671387,0.9436619718309859
0.07,0.19701492537313434,0.9295774647887324
0.08,0.2070063694267516,0.9154929577464789
0.09,0.21428571428571427,0.8873239436619719
0.1,0.21631205673758866,0.8591549295774648
0.11,0.2196969696969697,0.8169014084507042
0.12,0.22,0.7746478873239436
0.13,0.23504273504273504,0.7746478873239436
0.14,0.2465753424657534,0.7605633802816901
0.15,0.24875621890547264,0.704225352112676
0.16,0.25396825396825395,0.676056338028169
0.17,0.27647058823529413,0.6619718309859155
0.18,0.27607361963190186,0.6338028169014085
0.19,0.27450980392156865,0.5915492957746479
0.2,0.2671232876712329,0.5492957746478874
0.21,0.2753623188405797,0.5352112676056338
0.22,0.2868217054263566,0.5211267605633803
0.23,0.29508196721311475,0.5070422535211268
0.24,0.2956521739130435,0.4788732394366197
0.25,0.308411214953271,0.4647887323943662
0.26,0.31683168316831684,0.4507042253521127
0.27,0.32978723404255317,0.43661971830985913
0.28,0.33695652173913043,0.43661971830985913
0.29,0.35294117647058826,0.4225352112676056
0.3,0.37662337662337664,0.4084507042253521
0.31,0.38028169014084506,0.38028169014084506
0.32,0.3787878787878788,0.352112676056338
0.33,0.3793103448275862,0.30985915492957744
0.34,0.3888888888888889,0.29577464788732394
0.35,0.3673469387755102,0.2535211267605634
0.36,0.391304347826087,0.2535211267605634
0.37,0.425,0.23943661971830985
0.38,0.42105263157894735,0.22535211267605634
0.39,0.3939393939393939,0.18309859154929578
0.4,0.41935483870967744,0.18309859154929578
0.41,0.4482758620689655,0.18309859154929578
0.43,0.48148148148148145,0.18309859154929578
0.44,0.46153846153846156,0.16901408450704225
0.45,0.5,0.15492957746478872
0.46,0.55,0.15492957746478872
0.47,0.625,0.14084507042253522
0.51,0.6428571428571429,0.1267605633802817
0.52,0.75,0.1267605633802817
0.53,0.7272727272727273,0.11267605633802817
0.56,0.6666666666666666,0.08450704225352113
0.58,0.7142857142857143,0.07042253521126761
0.6,0.6666666666666666,0.056338028169014086
0.61,0.5,0.028169014084507043
0.63,0.6666666666666666,0.028169014084507043
0.69,1.0,0.028169014084507043
0.78,1.0,0.014084507042253521
1.0,1.0,0.0
